### Table from https://cccbdb.nist.gov/hf0k.asp
Species,Name,Enthalpy,Reference,DOI
MgS,"magnesium sulfide",120.8,Gurvich,
NS,"Mononitrogen monosulfide",266.8,Gurvich,
PS,"phosphorus sulfide",150.6,Gurvich,
S2,"Sulfur diatomic",128.3,CODATA,10.1002/bbpc.19900940121
SF,"Monosulfur monofluoride",14.8,Gurvich,
SiS,"silicon monosulfide",104.7,JANAF,
SO,"Sulfur monoxide",5.0,JANAF,
HBS,"hydrogen boron sulfide",-16.7,JANAF,
H2CS,Thioformaldehyde,118.4,1993RUS/BER:2568,10.1063/1.464139
H2S2,Disulfane,21.2,TRC,
CH3S,thiomethoxy,129.9,1999BIS/CHO805,10.1063/1.478048
CH3SH,Methanethiol,-11.9,webbook,10.18434/T4D303
AlCl,"Aluminum monochloride",-51.7,JANAF,
BCl,"boron monochloride",169.5,Gurvich,
BeCl,"beryllium monochloride",58.3,JANAF,
CCl,"carbon monochloride",435.8,Gurvich,
Cl2,"Chlorine diatomic",0.0,CODATA,10.1002/bbpc.19900940121
ClF,"Chlorine monofluoride",-50.2,JANAF,
ClO,"Monochlorine monoxide",101.3,JANAF,
LiCl,"lithium chloride",-195.6,JANAF,
MgCl,"magnesium monochloride",-54.5,Gurvich,
NaCl,"Sodium Chloride",-180.0,JANAF,
PCl,"phosphorus chloride",135.3,Gurvich,
SCl,"sulfur monochloride",155.6,JANAF,
SiCl,Clorosilylidyne,140.3,Gurvich,
DOCl,"Hypochlorous acid-d",-75.3,JANAF,
HCCl,Chloromethylene,319.1,2005Tar/Mil:2881,10.1039/b506790a
HOCl,"hypochlorous acid",-71.5,JANAF,
CH3Cl,"Methyl chloride",-73.9,Gurvich,
SiH3Cl,chlorosilane,-132.8,JANAF,
Ar2,"Argon diatomic",-1.0,1976Col/Dou:1741-1745,10.1063/1.433319
CaO,"Calcium monoxide",39.1,Gurvich,
CaOH,"Calcium monohydroxide",-170.0,Gurvich,
CuCl,"Copper monochloride",91.2,JANAF,
CuF,"Copper monofluoride",12.2,JANAF,
CuO,"Copper Monoxide",305.9,JANAF,
GeF,"Germanium monofluoride",-70.7,Gurvich,
SiGe,"Silicon Germanium",530.3,1995Vis/Sch:763,10.1006/jcht.1995.0079
Br2,"Bromine diatomic",45.7,CODATA,10.1002/bbpc.19900940121
BrCl,"Bromine monochloride",22.2,Gurvich,
BrF,"Bromine monofluoride",-51.2,Gurvich,
BrO+,"Bromine monoxide cation",1139.3,ATcT,
HOBr,"Hypobromous acid",-47.7,2001Joe:11041,10.1021/jp011833u
CH3Br,"methyl bromide",-21.0,Gurvich,
I2,"Iodine diatomic",65.5,Gurvich,
C3H4,cyclopropene,285.8,TRC,
CH2CCH2,allene,198.4,1970COX/PIL,10.1002/bbpc.19700740727
CH3CCH,propyne,191.6,webbook,10.18434/T4D303
C3H5+,"Allyl cation",957.7,webbook,10.18434/T4D303
C3H6,Cyclopropane,70.4,TRC,
CH2CHCH3,Propene,34.7,TRC,
C3H8,Propane,-82.4,TRC,
HN3,"hydrogen azide",300.3,Gurvich,
CH2NN,diazomethane,215.0,webbook,10.18434/T4D303
CH3CN,Acetonitrile,71.5,TRC,
C2H5N,Aziridine,142.5,TRC,
CH3CH2NH2,Ethylamine,-26.7,TRC,
CH3NHCH3,Dimethylamine,3.0,TRC,
BO2,"Boron dioxide",-310.0,Gurvich,
CO2,"Carbon dioxide",-393.1,CODATA,10.1002/bbpc.19900940121
N2O,"Nitrous oxide",85.0,Gurvich,
NO2,"Nitrogen dioxide",36.8,2006Rus/Pin:6592,10.1021/jp056311j
O3,Ozone,144.5,Gurvich,
HNCO,"Isocyanic acid",-98.7,JANAF,
HNO2,"Nitrous acid",-72.8,Gurvich,
CH2CO,Ketene,-44.5,2005Rus/Bog:573,10.1063/1.1724828
HCOOH,"Formic acid",-371.5,Gurvich,
CH3CO,"Acetyl radical",-3.6,2005Rus/Bog:573,10.1063/1.1724828
C2H4O,"Ethylene oxide",-40.1,JANAF,
CH3CHO,Acetaldehyde,-160.2,webbook,10.18434/T4D303
CH3CH2O,"Ethoxy radical",-0.2,2005Rus/Bog:573,10.1063/1.1724828
CH3CH2OH,Ethanol,-217.1,Gurvich,
CH3OCH3,"Dimethyl ether",-166.6,TRC,
BeF2,"Beryllium fluoride",-796.7,Gurvich,
CF2,Difluoromethylene,-184.6,1997Pou/Pau:5327,10.1021/jp970778f
F2O,"Difluorine monoxide",26.8,Gurvich,
FCN,"Cyanogen fluoride",34.0,Gurvich,
FNO,"Nitrosyl fluoride",-62.6,Gurvich,
FOO,"Dioxygen monofluoride radical",27.2,JANAF,
NF2,"Difluoroamino radical",37.0,Gurvich,
BHF2,Difluoroborane,-736.0,Gurvich,
CH2F2,"Methane, difluoro-",-444.5,Gurvich,
CH2CHF,"Ethene, fluoro-",-132.2,Gurvich,
MgF2,"Magnesium fluoride",-734.3,Gurvich,
SiO2,"silicon dioxide",-320.7,Gurvich,
PO2,"Phosphorus dioxide",-278.0,Gurvich,
CS2,"Carbon disulfide",115.9,Gurvich,
OCS,"Carbonyl sulfide",-141.8,Gurvich,
S3,"Sulfur trimer",146.0,Gurvich,
SF2,"sulfur difluoride",-291.0,Gurvich,
SO2,"Sulfur dioxide",-294.3,CODATA,10.1002/bbpc.19900940121
SSO,"Disulfur monoxide",-54.0,Gurvich,
C2H4S,Thiirane,94.4,TRC,
CH3CH2SH,ethanethiol,-29.2,TRC,
BeCl2,"Beryllium chloride",-362.5,Gurvich,
CCl2,dichloromethylene,226.9,2005Tar/Mil:2881,10.1039/b506790a
Cl2O,"Dichlorine monoxide",82.8,JANAF,
ClCN,chlorocyanogen,133.5,Gurvich,
ClNO,"Nitrosyl chloride",54.6,Gurvich,
ClOO,"chloroperoxy radical",99.7,JANAF,
ClS2,"Sulfur chloride",79.5,JANAF,
MgCl2,"Magnesium dichloride",-398.9,Gurvich,
OClO,"Chlorine dioxide",99.0,JANAF,
SiCl2,Dichlorosilylene,-163.2,Gurvich,
BHCl2,"Borane, dichloro-",-249.0,Gurvich,
CHCl2+,"dichloromethyl cation",891.7,2008Shu/Zha:10533-10538,10.1021/jp8056459
CH2Cl2,"Methylene chloride",-88.2,Gurvich,
SiH2Cl2,dichlorosilane,-313.0,JANAF,
CH3CH2Cl,"Ethyl chloride",-97.7,TRC,
CaCl2,"Calcium Chloride",-485.2,Gurvich,
CaF2,"Calcium difluoride",-789.1,Gurvich,
GeCl2,"Germanium dichloride",-170.5,Gurvich,
GeO2,"Germanium dioxide",-104.1,Gurvich,
BrCN,"Cyanogen bromide",192.8,JANAF,
CH2Br2,dibromomethane,31.0,Gurvich,
CH2BrI,bromoiodomethane,70.4,2005Lag/Ker:1802-1809,10.1021/jp045337s
C2H3I,"Vinyl iodide",140.2,2008Shu/Och:5647-5652,10.1021/jp8007255
B4H10,Tetraborane(10),97.8,1998Yu/Bau:807,10.1063/1.556022
C4,"Carbon tetramer",964.0,JANAF,
C4H6,1-Methylcyclopropene,257.9,1970COX/PIL,10.1002/bbpc.19700740727
C4H6,Cyclobutene,173.8,1970COX/PIL,10.1002/bbpc.19700740727
